route,title,final_title,meta_description,canonical,h1,robots,indexability_class,title_issues,description_issues,structured_data
"/blog/unlocking-ai-potential-small-business-prompting-strategies-chatgpt-5","AI prompting strategies for small business","AI prompting strategies for small | Prism","AI prompting strategies for small. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/unlocking-ai-potential-small-business-prompting-strategies-chatgpt-5","unlocking ai's potential for your small business: lessons from the latest prompting strategies (with chatgpt-5 now live!)","noindex","utility_noindex","","","yes"
"/blog/unlocking-smb-growth-hormozi-100m-leads","SMB growth: Hormozi's $100M Leads + AI","SMB growth: Hormozi's $100M Leads + AI | Prism","SMB growth: Hormozi's $100M Leads + AI. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/unlocking-smb-growth-hormozi-100m-leads","unlocking smb growth: lessons from alex hormozi's $100m leads (and why ai is your secret weapon right now)","index","indexable","","","yes"
"/blog/unlocking-smb-growth-hormozi-100m-offers","SMB growth: Hormozi's $100M Offers + AI","SMB growth: Hormozi's $100M Offers + AI | Prism","SMB growth: Hormozi's $100M Offers + AI. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/unlocking-smb-growth-hormozi-100m-offers","unlocking smb growth: lessons from alex hormozi's $100m offers (and why ai is your secret weapon right now)","index","indexable","","","yes"
"/blog/vibe-coding-platform-foundation-2026","Lovable vs Replit vs Vercel","Lovable vs Replit vs Vercel | Prism","Confused by Lovable, Replit, Cursor, Vercel, and Next.js?","https://www.design-prism.com/blog/vibe-coding-platform-foundation-2026","lovable vs replit vs vercel: what to build on (so you don't regret it later)","index","indexable","","","yes"
"/blog/who-prism-is-for","Who Prism is for","Who Prism is for | Prism","Who should use Prism instead of DIY builders, freelancers, agencies, or niche platforms.","https://www.design-prism.com/blog/who-prism-is-for","I Tried Squarespace, Hired an Agency, and Built Prism Instead. Here's Who It's Actually For.","index","indexable","","","yes"
"/blog/win-next-ai-distribution-wave-30-day-playbook","Win the next AI distribution wave","Win the next AI distribution wave | Prism","Win the next AI distribution wave. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/win-next-ai-distribution-wave-30-day-playbook","win the next ai distribution wave: a 30-day, no-fluff playbook for founders & local service brands","noindex","utility_noindex","","","yes"
"/blog/winning-ai-search-game","Winning the AI search game","Winning the AI search game | Prism","Winning the AI search game. A concise overview with the key details from Prism.","https://www.design-prism.com/blog/winning-ai-search-game","winning the ai search game: a deep dive into ranking higher and getting more leads","index","indexable","","","yes"
"/book-a-shoot","Book dental photography","Book dental photography | Prism","Book dental photography. A concise overview with the key details from Prism.","https://www.design-prism.com/book-a-shoot","pick two windows and we ll lock it in.","index","indexable","","","yes"
"/book-a-shoot/thank-you","Shoot request received","Shoot request received | Prism","Your photography windows are on our calendar.","https://www.design-prism.com/book-a-shoot/thank-you","windows received. Thanks for the details.","noindex","utility_noindex","","","no"
"/careers","Careers at Prism","Careers at Prism | Prism","Check the current hiring status and open roles at Prism.","https://www.design-prism.com/careers","no open roles right now","noindex","utility_noindex","","","no"
"/careers/front-end-developer","Front-end developer role closed","Front-end developer role closed | Prism","This Prism role is no longer open. Visit the careers page for the current hiring status.","https://www.design-prism.com/careers/front-end-developer","","noindex","utility_noindex","","","no"
"/careers/replit-builder","Replit builder role closed","Replit builder role closed | Prism","This Prism role is no longer open. Visit the careers page for the current hiring status.","https://www.design-prism.com/careers/replit-builder","","noindex","utility_noindex","","","no"
"/case-studies","Client results","Client results | Prism","Client results. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies","recent client work","index","indexable","","","yes"
"/case-studies/belize-kids-foundation","Belize Kids case study","Belize Kids case study | Prism","Belize Kids case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/belize-kids-foundation","component","index","indexable","","","yes"
"/case-studies/canary-cove","Canary Cove case study","Canary Cove case study | Prism","Canary Cove case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/canary-cove","component","index","indexable","","","yes"
"/case-studies/canary-foundation","Canary Foundation case study","Canary Foundation case study | Prism","Canary Foundation case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/canary-foundation","component","index","indexable","","","yes"
"/case-studies/coast-periodontics-and-laser-surgery","Coast Periodontics case study","Coast Periodontics case study | Prism","Coast Periodontics case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/coast-periodontics-and-laser-surgery","component","index","indexable","","","yes"
"/case-studies/dr-christopher-wong","Dr. Wong dental M&A relaunch","Dr. Wong dental M&A relaunch | Prism","Dr. Wong dental M&A relaunch. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/dr-christopher-wong","component","index","indexable","","","yes"
"/case-studies/exquisite-dentistry","Exquisite Dentistry brand relaunch","Exquisite Dentistry brand relaunch | Prism","Exquisite Dentistry brand relaunch. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/exquisite-dentistry","component","index","indexable","","","yes"
"/case-studies/family-first-smile-care","Family First Smile Care case study","Family First Smile Care case study | Prism","Family First Smile Care case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/family-first-smile-care","component","index","indexable","","","yes"
"/case-studies/grace-dental-santa-rosa","Grace Dental Santa Rosa relaunch","Grace Dental Santa Rosa relaunch | Prism","Grace Dental Santa Rosa relaunch. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/grace-dental-santa-rosa","component","index","indexable","","","yes"
"/case-studies/infobell-it","Infobell IT Solutions case study","Infobell IT Solutions case study | Prism","Infobell IT Solutions case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/infobell-it","component","index","indexable","","","yes"
"/case-studies/laguna-beach-dental-arts","Laguna Beach Dental Arts relaunch","Laguna Beach Dental Arts relaunch | Prism","Laguna Beach Dental Arts relaunch. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/laguna-beach-dental-arts","component","index","indexable","","","yes"
"/case-studies/leadership-retreat","Leadership Retreat case study","Leadership Retreat case study | Prism","Leadership Retreat case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/leadership-retreat","component","index","indexable","","","yes"
"/case-studies/mataria-dental-group","Mataria Dental Group M&A launch","Mataria Dental Group M&A launch | Prism","Mataria Dental Group M&A launch. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/mataria-dental-group","component","index","indexable","","","yes"
"/case-studies/michael-njo-dds","Dental Strategies case study","Dental Strategies case study | Prism","How Prism rebuilt Dental Strategies around its brand, patient journey, search, and analytics.","https://www.design-prism.com/case-studies/michael-njo-dds","component","index","indexable","","","yes"
"/case-studies/olympic-bootworks","Olympic Bootworks retail case study","Olympic Bootworks retail case study | Prism","Olympic Bootworks retail case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/olympic-bootworks","component","index","indexable","","","yes"
"/case-studies/practice-transitions-institute","Practice Transitions Institute case study","Practice Transitions Institute case | Prism","Practice Transitions Institute case. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/practice-transitions-institute","component","index","indexable","","","yes"
"/case-studies/rebellious-aging","Rebellious Aging case study","Rebellious Aging case study | Prism","Rebellious Aging case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/rebellious-aging","component","index","indexable","","","yes"
"/case-studies/roseville-dental-academy","Roseville Dental Academy case study","Roseville Dental Academy case study | Prism","Roseville Dental Academy case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/roseville-dental-academy","Roseville Dental Academy","index","indexable","","","yes"
"/case-studies/saorsa-growth-partners","Saorsa Growth Partners case study","Saorsa Growth Partners case study | Prism","Saorsa Growth Partners case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/saorsa-growth-partners","component","index","indexable","","","yes"
"/case-studies/sr4-partners","SR4 Partners case study","SR4 Partners case study | Prism","SR4 Partners case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/sr4-partners","component","index","indexable","","","yes"
"/case-studies/town-centre-dental","Town Centre Dental case study","Town Centre Dental case study | Prism","Town Centre Dental case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/town-centre-dental","component","index","indexable","","","yes"
"/case-studies/we-are-saplings","We Are Saplings case study","We Are Saplings case study | Prism","We Are Saplings case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/we-are-saplings","component","index","indexable","","","yes"
"/case-studies/wine-country-root-canal","Wine Country Root Canal case study","Wine Country Root Canal case study | Prism","Wine Country Root Canal case study. A concise overview with the key details from Prism.","https://www.design-prism.com/case-studies/wine-country-root-canal","component","index","indexable","","","yes"
"/chatgpt-ads","ChatGPT Ads","ChatGPT Ads | Prism","ChatGPT Ads. A concise overview with the key details from Prism.","https://www.design-prism.com/chatgpt-ads","Ads, inside ChatGPT.","index","indexable","","","yes"
"/checkout/grow/thank-you","Grow plan order received","Grow plan order received | Prism","We received your Grow plan order.","https://www.design-prism.com/checkout/grow/thank-you","Growth is on the Horizon!","noindex","utility_noindex","","","no"
"/checkout/launch/thank-you","Launch plan order received","Launch plan order received | Prism","We received your Launch plan order.","https://www.design-prism.com/checkout/launch/thank-you","You're Cleared for Launch!","noindex","utility_noindex","","","no"
"/checkout/scale/thank-you","Scale plan order received","Scale plan order received | Prism","We received your Scale plan order.","https://www.design-prism.com/checkout/scale/thank-you","Ready to Scale!","noindex","utility_noindex","","","no"
"/checkout/website/thank-you","Website order received","Website order received | Prism","Website order received. A concise overview with the key details from Prism.","https://www.design-prism.com/checkout/website/thank-you","We ve received your website order.","noindex","utility_noindex","","","no"
"/contact","Contact","Contact | Prism","Send Prism a note. We reply within two business days.","https://www.design-prism.com/contact","","index","indexable","","","yes"
"/content","Content","Content | Prism","A content system that plans, produces, and publishes across your website and every social platform.","https://www.design-prism.com/content","","index","indexable","","","yes"
"/custom-email-for-dental-practices","Dental practice email","Dental practice email | Prism","Dental practice email. A concise overview with the key details from Prism.","https://www.design-prism.com/custom-email-for-dental-practices","Custom Email for Dental Practices","index","indexable","","","yes"
"/dental-os","Dental OS","Dental OS | Prism","A complete dental growth system for websites, SEO, AI search, Google Maps, reviews, and ads.","https://www.design-prism.com/dental-os","","index","indexable","","","yes"
"/dental-photography","Dental photography","Dental photography | Prism","Dental photography. A concise overview with the key details from Prism.","https://www.design-prism.com/dental-photography","pro photos that make every prism deliverable hit harder.","index","indexable","","","yes"
"/dental-photography/before-after","Dental before-and-after photos","Dental before-and-after photos | Prism","Dental before-and-after photos. A concise overview with the key details from Prism.","https://www.design-prism.com/dental-photography/before-after","build a before + after system your team can run every day.","index","indexable","","","yes"
"/dental-photography/office-team","Dental office and team photography","Dental office and team photography | Prism","Capture your dental team, office, and patient experience in one focused photo shoot.","https://www.design-prism.com/dental-photography/office-team","one button to book the office shoot patients actually want to see.","index","indexable","","","yes"
"/dental-practice-seo-expert","Dental SEO","Dental SEO | Prism","Dental SEO. A concise overview with the key details from Prism.","https://www.design-prism.com/dental-practice-seo-expert","dentist seo","index","indexable","","","yes"
"/dental-website","Dental websites","Dental websites | Prism","Dental websites. A concise overview with the key details from Prism.","https://www.design-prism.com/dental-website","dental practice websites that get found, trusted, and chosen.","index","indexable","","","yes"
"/designs","Graphic design & creative services","Graphic design & creative services | Prism","Graphic design & creative services. A concise overview with the key details from Prism.","https://www.design-prism.com/designs","how design works at prism","noindex","utility_noindex","","","yes"
"/designs/wine-country-root-canal","Wine Country Root Canal design review","Wine Country Root Canal design review | Prism","Review Dr. Anderson's live design system, collateral, feedback, and rollout notes.","https://www.design-prism.com/designs/wine-country-root-canal","wine country root canal","noindex","utility_noindex","","","yes"
"/facebook-ads-for-dentists","Facebook ads for dentists","Facebook ads for dentists | Prism","Facebook ads for dentists. A concise overview with the key details from Prism.","https://www.design-prism.com/facebook-ads-for-dentists","facebook ads for dentists","index","indexable","","","yes"
"/faq","FAQ","FAQ | Prism","FAQ. A concise overview with the key details from Prism.","https://www.design-prism.com/faq","Frequently asked questions","index","indexable","","","yes"
"/free-analysis","Free website analysis","Free website analysis | Prism","Free website analysis. A concise overview with the key details from Prism.","https://www.design-prism.com/free-analysis","Get a free analysis of your current website and visibility.","index","indexable","","","yes"
"/get-started","Free growth audit","Free growth audit | Prism","Free growth audit. A concise overview with the key details from Prism.","https://www.design-prism.com/get-started","","index","indexable","","","yes"
"/google","Google Workspace, Ads & Analytics services","Google Workspace, Ads & Analytics | Prism","Google Workspace, Ads & Analytics. A concise overview with the key details from Prism.","https://www.design-prism.com/google","grow your local business with a connected google system","noindex","utility_noindex","","","yes"
"/google/dental-ads","Google Ads for dentists","Google Ads for dentists | Prism","Google Ads for dentists. A concise overview with the key details from Prism.","https://www.design-prism.com/google/dental-ads","prism + google ads: growing dental practices with precision","index","indexable","","","yes"
"/google/dental-patient-forms","Dental forms in Google Workspace","Dental forms in Google Workspace | Prism","Dental forms in Google Workspace. A concise overview with the key details from Prism.","https://www.design-prism.com/google/dental-patient-forms","Set Up Secure Electronic Patient Forms with Google Workspace","index","indexable","","","yes"
"/hottest-content","Prism's hottest content library","Prism's hottest content library | Prism","Prism's hottest content library. A concise overview with the key details from Prism.","https://www.design-prism.com/hottest-content","the reels that broke through","noindex","utility_noindex","","","yes"
"/ig","Prism on Instagram","Prism on Instagram","Website design and Prism Infinity creative support from our Instagram studio.","https://www.design-prism.com/ig","","noindex","utility_noindex","","","yes"
"/library","Prism library: founder & athlete lessons","Prism library: founder & athlete lessons","Prism library: founder & athlete lessons. A concise overview with the key details from Prism.","https://www.design-prism.com/library","Prism Library","noindex","utility_noindex","","","yes"
"/library/instagram-DS5xtbrkubQ","Think bigger","Think bigger | Prism","Short lesson from Prism Library: think bigger.","https://www.design-prism.com/library/instagram-DS5xtbrkubQ","think bigger","noindex","utility_noindex","","","yes"
"/library/instagram-DTLH9V_CRf8","Inexperience is a competitive advantage","Inexperience is a competitive advantage | Prism","Short lesson from Prism Library: inexperience is a competitive advantage.","https://www.design-prism.com/library/instagram-DTLH9V_CRf8","inexperience is a competitive advantage","noindex","utility_noindex","","","yes"
"/local-listings","Local listings","Local listings | Prism","Local listings. A concise overview with the key details from Prism.","https://www.design-prism.com/local-listings","Be the obvious choice in your neighborhood","index","indexable","","","yes"
"/local-seo-agency","Local SEO agency","Local SEO agency | Prism","Local SEO agency. A concise overview with the key details from Prism.","https://www.design-prism.com/local-seo-agency","A local SEO agency partner for small businesses","index","indexable","","","yes"
"/local-seo-services","Local SEO services","Local SEO services | Prism","Local SEO services. A concise overview with the key details from Prism.","https://www.design-prism.com/local-seo-services","Local SEO services that turn searches into customers","index","indexable","","","yes"
"/models","Prism models: free whitening & photos","Prism models: free whitening & photos","Prism models: free whitening & photos. A concise overview with the key details from Prism.","https://www.design-prism.com/models","prism models","noindex","utility_noindex","","","yes"
"/openai","OpenAI growth systems","OpenAI growth systems | Prism","OpenAI growth systems. A concise overview with the key details from Prism.","https://www.design-prism.com/openai","practical ai systems built around your business","noindex","utility_noindex","","","yes"
"/openai/site-rebuild","Rebuild any site locally with Codex","Rebuild any site locally with Codex | Prism","Rebuild any site locally with Codex. A concise overview with the key details from Prism.","https://www.design-prism.com/openai/site-rebuild","mirror any website and rebuild it with codex","noindex","utility_noindex","","","yes"
"/podcast","Growth podcast for founders & operators","Growth podcast for founders & operators | Prism","Growth podcast for founders & operators. A concise overview with the key details from Prism.","https://www.design-prism.com/podcast","prism podcast","noindex","utility_noindex","","","yes"
"/podcast/michael-njo","Dr. Michael Njo on the Prism Podcast","Dr. Michael Njo on the Prism Podcast | Prism","Dr. Michael Njo on the Prism Podcast. A concise overview with the key details from Prism.","https://www.design-prism.com/podcast/michael-njo","Dr. Michael Njo","noindex","utility_noindex","","","yes"
"/pricing","Pricing","Pricing | Prism","Pricing. A concise overview with the key details from Prism.","https://www.design-prism.com/pricing","component","index","indexable","","","yes"
"/pricing/thank-you","Pricing reviewed: next steps","Pricing reviewed: next steps | Prism","Thanks for reviewing Prism pricing.","https://www.design-prism.com/pricing/thank-you","thanks for reviewing pricing","noindex","utility_noindex","","","no"
"/prism-flywheel","The Prism growth flywheel","The Prism growth flywheel | Prism","The Prism growth flywheel. A concise overview with the key details from Prism.","https://www.design-prism.com/prism-flywheel","The Prism Flywheel","noindex","utility_noindex","","","yes"
"/prism-infinity","Prism Infinity","Prism Infinity","Prism Infinity. A concise overview with the key details from Prism.","https://www.design-prism.com/prism-infinity","Unlimited One subscription.","index","indexable","","","yes"
"/privacy-policy","Privacy","Privacy | Prism","Privacy. A concise overview with the key details from Prism.","https://www.design-prism.com/privacy-policy","privacy policy","index","indexable","","","yes"
"/proof","Patient testimonial system","Patient testimonial system | Prism","Patient testimonial system. A concise overview with the key details from Prism.","https://www.design-prism.com/proof","prism proof","index","indexable","","","yes"
"/refer","Refer a friend to Prism","Refer a friend to Prism | Prism","Refer a friend to Prism. A concise overview with the key details from Prism.","https://www.design-prism.com/refer","A friend who becomes a client. $100.","noindex","utility_noindex","","","yes"
"/replit","Prism x Replit website builds","Prism x Replit website builds","Prism x Replit website builds. A concise overview with the key details from Prism.","https://www.design-prism.com/replit","prism × replit: building the next generation of websites","noindex","utility_noindex","","","yes"
"/scholarship","Free community website scholarship","Free community website scholarship | Prism","Each month Prism builds a free website for one community member.","https://www.design-prism.com/scholarship","prism community website scholarship","noindex","utility_noindex","","","yes"
"/secret-pearl/privacy","Secret Pearl Privacy","Secret Pearl Privacy | Prism","How Secret Pearl stores and protects your private relationship journal on your iPhone.","https://www.design-prism.com/secret-pearl/privacy","Privacy Policy","noindex","utility_noindex","","","no"
"/seo","Local SEO","Local SEO | Prism","Local SEO. A concise overview with the key details from Prism.","https://www.design-prism.com/seo","component","index","indexable","","","yes"
"/seo/audit","SEO audit","SEO audit | Prism","SEO audit. A concise overview with the key details from Prism.","https://www.design-prism.com/seo/audit","component","index","indexable","","","yes"
"/seo/off-page","Off-page SEO systems","Off-page SEO systems | Prism","Off-page SEO systems. A concise overview with the key details from Prism.","https://www.design-prism.com/seo/off-page","component","noindex","utility_noindex","","","yes"
"/seo/on-page","On-page SEO services","On-page SEO services | Prism","On-page SEO services. A concise overview with the key details from Prism.","https://www.design-prism.com/seo/on-page","component","noindex","utility_noindex","","","yes"
"/services","Services","Services | Prism","Services. A concise overview with the key details from Prism.","https://www.design-prism.com/services","one partner for every growth lever","index","indexable","","","yes"
"/smb","Small business AI services","Small business AI services | Prism","Small business AI services. A concise overview with the key details from Prism.","https://www.design-prism.com/smb","design, software, and data: accelerated by ai","noindex","utility_noindex","","","yes"
"/software","Free growth software tools","Free growth software tools | Prism","Free growth software tools. A concise overview with the key details from Prism.","https://www.design-prism.com/software","","noindex","utility_noindex","","","yes"
"/story","Story-driven marketing for local brands","Story-driven marketing for local brands | Prism","Turn customer impact into a growth engine.","https://www.design-prism.com/story","turn customer impact into your loudest signal","noindex","utility_noindex","","","yes"
"/terms-of-service","Terms","Terms | Prism","Terms. A concise overview with the key details from Prism.","https://www.design-prism.com/terms-of-service","terms of service","index","indexable","","","yes"
"/thank-you","Thank you","Thank you | Prism","We received your submission.","https://www.design-prism.com/thank-you","dynamic","noindex","utility_noindex","","","no"
"/thanks","Payment received: thank you","Payment received: thank you | Prism","Payment received: thank you. A concise overview with the key details from Prism.","https://www.design-prism.com/thanks","thank you for your payment","noindex","utility_noindex","","","no"
"/thanks-call","Your call is scheduled","Your call is scheduled | Prism","Your call with Prism is booked.","https://www.design-prism.com/thanks-call","your call is scheduled","noindex","utility_noindex","","","no"
"/tiktok","Prism on TikTok","Prism on TikTok","Website design and Prism Infinity creative support from our TikTok studio.","https://www.design-prism.com/tiktok","","noindex","utility_noindex","","","yes"
"/tiktok-ads-for-dentists","TikTok ads for dentists","TikTok ads for dentists | Prism","TikTok ads for dentists. A concise overview with the key details from Prism.","https://www.design-prism.com/tiktok-ads-for-dentists","tiktok ads for dentists","index","indexable","","","yes"
"/wall-of-love","Client reviews","Client reviews | Prism","Read real reviews from dental practices, nonprofits, and local brands that work with Prism.","https://www.design-prism.com/wall-of-love","Wall of Love","index","indexable","","","no"
"/website-intake","Start your new website","Start your new website | Prism","Start your new website. A concise overview with the key details from Prism.","https://www.design-prism.com/website-intake","","noindex","utility_noindex","","","yes"
"/websites","Pro websites","Pro websites | Prism","Pro websites. A concise overview with the key details from Prism.","https://www.design-prism.com/websites","Your online presence, fully dialed.","index","indexable","","","yes"
"/why-consulting-companies-love-prism","Consulting websites & lead generation","Consulting websites & lead generation | Prism","Consulting websites & lead generation. A concise overview with the key details from Prism.","https://www.design-prism.com/why-consulting-companies-love-prism","Build trust, attract clients, and scale your impact, without worrying about your website.","index","indexable","","","yes"
"/why-dental-practices-love-prism","Dental marketing","Dental marketing | Prism","Dental marketing. A concise overview with the key details from Prism.","https://www.design-prism.com/why-dental-practices-love-prism","grow your practice. worry less about marketing + tech.","index","indexable","","","yes"
"/why-local-shop-owners-love-prism","Websites & local marketing for shops","Websites & local marketing for shops | Prism","Websites & local marketing for shops. A concise overview with the key details from Prism.","https://www.design-prism.com/why-local-shop-owners-love-prism","More customers. Less tech stress.","index","indexable","","","yes"
"/why-nonprofits-love-prism","Nonprofit websites & donor growth","Nonprofit websites & donor growth | Prism","Nonprofit websites & donor growth. A concise overview with the key details from Prism.","https://www.design-prism.com/why-nonprofits-love-prism","Share your mission. Reach more people. Simplify your tech.","index","indexable","","","yes"
"/why-online-community-founders-love-prism","Growth systems for community founders","Growth systems for community founders | Prism","Growth systems for community founders. A concise overview with the key details from Prism.","https://www.design-prism.com/why-online-community-founders-love-prism","Build a thriving community without drowning in tech or design work.","index","indexable","","","yes"
"/youtube","Prism on YouTube","Prism on YouTube","Website design and Prism Infinity creative support from our YouTube studio.","https://www.design-prism.com/youtube","","noindex","utility_noindex","","","yes"
